"Category","2025"
"BMW IX1 BEV",466
"BYD SEAL BEV",264
"BYD SEALION 07 BEV",251
"BYD YUAN PLUS / ATTO-3 BEV",315
"FORD EXPLORER BEV",236
"HYUNDAI IONIQ 5 BEV",264
"KIA EV3 BEV",665
"TESLA MODEL 3 BEV",536
"TESLA MODEL Y BEV",1022
"VOLVO EX30 BEV",230
