EV Model,Capacity
Ford Mustang Mach-E ER AWD,88.0
Lucid Air Pure RWD,88.0
Volvo EX90 Single Motor,88.0
Polestar 3 Rear Motor,88.0
VinFast VF 8 Eco Extended Range,87.7
VinFast VF 8 Plus Extended Range,87.7
Nissan Ariya e-4ORCE 87kWh - 320 kW Nismo,87.0
Mitsubishi Eclipse Cross 87 kWh,87.0
BYD SEAL U 87 kWh Design,87.0
Nissan Ariya 87kWh,87.0
Nissan Ariya e-4ORCE 87kWh - 225 kW,87.0
Renault Scenic E-Tech EV87 220hp,87.0
Volkswagen ID. Buzz LWB Pro,86.0
Volkswagen ID. Buzz LWB GTX,86.0
Volkswagen ID.7 Pro S,86.0
Volkswagen ID.7 GTX,86.0
Volkswagen ID.7 Tourer Pro S,86.0
Volkswagen ID.7 Tourer GTX,86.0
Mercedes-Benz CLA 250+,85.0
Mercedes-Benz CLA 350 4MATIC,85.0
Mercedes-Benz CLA Shooting Brake 250+,85.0
Mercedes-Benz CLA Shooting Brake 350 4MATIC,85.0
Mercedes-Benz GLB 250+,85.0
Mercedes-Benz GLB 350 4MATIC,85.0
TOGG T10X Long Range RWD,85.0
TOGG T10X Long Range AWD,85.0
TOGG T10F Long Range RWD,85.0
TOGG T10F Long Range AWD,85.0
Maxus MIFA 9,84.0
GWM ORA 07 GT,83.5
Maserati GranTurismo Folgore,83.0
Maserati GranCabrio Folgore,83.0
XPENG P7 RWD Long Range,82.7
XPENG P7 AWD Performance,82.7
BYD SEAL 82.5 kWh RWD Design,82.5
BYD SEAL 82.5 kWh AWD Excellence,82.5
BYD SEALION 7 82.5 kWh RWD Comfort,82.5
BYD SEALION 7 82.5 kWh AWD Design,82.5
Porsche Taycan,82.3
Porsche Taycan 4S,82.3
Porsche Taycan Sport Turismo,82.3
Porsche Taycan 4S Sport Turismo,82.3
Porsche Taycan 4,82.3
Leapmotor C10 RWD 81.9 kWh,81.9
Leapmotor C10 AWD 81.9 kWh,81.9
BMW i4 eDrive40,81.3
BMW i4 xDrive40,81.3
BMW i4 M60 xDrive,81.3
BMW i5 eDrive40 Sedan,81.2
BMW i5 xDrive40 Sedan,81.2
BMW i5 M60 xDrive Sedan,81.2
BMW i5 eDrive40 Touring,81.2
BMW i5 xDrive40 Touring,81.2
BMW i5 M60 xDrive Touring,81.2
Elaris BEO 86 kWh,81.0
Skywell BE11 Long Range,81.0
KGM Musso EV 2WD,80.6
KGM Musso EV 4WD,80.6
Kia EV6 GT,80.0
Hyundai IONIQ 6 84 kWh RWD,80.0
Hyundai IONIQ 6 84 kWh AWD,80.0
Volvo EX60 P6,80.0
Hyundai IONIQ 6 N,80.0
Genesis GV60 Pure,80.0
Genesis GV60 Sport,80.0
Genesis GV60 Performance,80.0
Genesis GV70 Electrified,80.0
Hyundai IONIQ 5 84 kWh RWD,80.0
Hyundai IONIQ 5 84 kWh AWD,80.0
XPENG G6 RWD Long Range,80.0
XPENG G6 AWD Performance,80.0
Kia EV6 Long Range 2WD,80.0
Kia EV6 Long Range AWD,80.0
Hyundai IONIQ 5 N,80.0
Tesla Model 3 Performance,79.0
Tesla Model Y Premium AWD,79.0
Volkswagen ID.3 Pro S,79.0
Škoda Elroq RS,79.0
Škoda Enyaq RS,79.0
Škoda Enyaq Coupe RS,79.0
KGM Torres EVX 80.6 kWh,79.0
Tesla Model 3 Premium RWD,79.0
Tesla Model 3 Premium AWD,79.0
Polestar 2 Long Range Single Motor,79.0
CUPRA Born VZ,79.0
Polestar 2 Long Range Dual Motor,79.0
Polestar 2 Long Range Performance,79.0
Volvo EC40 Single Motor ER,79.0
Volvo EC40 Twin Motor,79.0
Volvo EC40 Twin Motor Performance,79.0
Volvo EX40 Single Motor ER,79.0
Volvo EX40 Twin Motor,79.0
Volvo EX40 Twin Motor Performance,79.0
Volkswagen ID.3 GTX,79.0
Volkswagen ID.3 GTX Performance,79.0
Volkswagen ID. Buzz NWB GTX,79.0
Ford Capri Extended Range RWD,79.0
Ford Explorer Extended Range RWD,79.0
Tesla Model Y Premium RWD,79.0
Volkswagen ID.4 GTX,79.0
Volkswagen ID.5 GTX,79.0
Volkswagen ID. Buzz NWB Pro,79.0
CUPRA Born 170 kW - 79 kWh,79.0
Tesla Model Y Performance,79.0
XPENG G9 RWD Standard Range,78.2
Kia EV4 Fastback 81.4 kWh,78.0
Kia EV4 Hatchback 81.4 kWh,78.0
