Metric,Value
"Total income, 2021-2030 (EUR)","525,571,249"
"Total cost, 2021-2030 (EUR)","352,172,268"
"Total profit, 2021-2030 (EUR)","173,398,981"
Average annual profit (EUR),"17,339,898"
"NPV, 2021-2030 @ 6% (EUR)","126,567,695"
